title,price,mall,img
14k 18k 플랫 체인 반지,18000원,엘렌쥬얼리,https://shopping-phinf.pstatic.net/main_1330928/13309288365.1.jpg?type=f140
14k 18k 엥게이지 링 평반지 민자 금 반지,35900원,엘렌쥬얼리,https://shopping-phinf.pstatic.net/main_8273173/82731734010.jpg?type=f140
엘렌쥬얼리 Cutting ball 체인 반지TypeA,23000원,엘렌쥬얼리네이버플러스멤버십23000,SSG닷컴23604,G마켓23870,롯데ON네이버페이23940,옥션24010,https://shopping-phinf.pstatic.net/main_3518720/35187203578.20230527063136.jpg?type=f140
엘렌쥬얼리 Tiny 아몬드 체인 반지,15050원,롯데ON네이버페이15050,엘렌쥬얼리네이버플러스멤버십16000,AK몰네이버페이16110,현대Hmall네이버페이16740,GSSHOP네이버페이18000,https://shopping-phinf.pstatic.net/main_3556852/35568520890.20230527013313.jpg?type=f140
통통 체인 금 볼 팔찌,221500원,일과904843네이버플러스멤버십221500,영민당네이버플러스멤버십375000,https://shopping-phinf.pstatic.net/main_4027870/40278703257.20230529073412.jpg?type=f140
14k 18k 할로우 타원 뱅글 팔찌 5mm,529000원,메이비투아,https://shopping-phinf.pstatic.net/main_8294593/82945930737.3.jpg?type=f140
스와로브스키 스와로브스키 SWAROVSKI 주얼리 Tennis Deluxe 팔찌 로듐 브레이슬릿 5409771,152620원,11번가152620,G마켓152630,옥션152630,Nichemarket네이버플러스멤버십153300,https://shopping-phinf.pstatic.net/main_3982946/39829461412.20230506203619.jpg?type=f140
Hei pounding volume heart necklace,41702원,SSG닷컴41702,G마켓42600,11번가43500,롯데홈쇼핑네이버페이44310,옥션44610,https://shopping-phinf.pstatic.net/main_3868789/38687893145.20230318050024.jpg?type=f140
14k 18k 할로우 커브 메디앙 팔찌,485000원,엘렌쥬얼리,https://shopping-phinf.pstatic.net/main_1193935/11939354957.1.jpg?type=f140
엘렌쥬얼리 Curve 체인 반지 Type D,23500원,위메프네이버페이23500,롯데ON네이버페이23520,엘렌쥬얼리네이버플러스멤버십25000,AK몰네이버페이25060,하프클럽네이버페이25210,https://shopping-phinf.pstatic.net/main_3570259/35702597628.20230527000904.jpg?type=f140
엘렌쥬얼리 이니셜 코인 목걸이,111024원,SSG닷컴111024,롯데ON네이버페이111030,엘렌쥬얼리네이버플러스멤버십119000,신세계몰119380,GSSHOP네이버페이121500,https://shopping-phinf.pstatic.net/main_2207315/22073159123.20200228153020.jpg?type=f140
엘렌쥬얼리 트윈 고래 물고기 미스 링 금 반지,141640원,G마켓141640,롯데ON네이버페이141650,SSG닷컴142495,엘렌쥬얼리네이버플러스멤버십144000,옥션144930,https://shopping-phinf.pstatic.net/main_3940128/39401285307.20230416131551.jpg?type=f140
엘렌쥬얼리 Ball 체인 반지 2,31000원,엘렌쥬얼리네이버플러스멤버십31000,11번가31620,위메프네이버페이35250,브랜디네이버플러스멤버십36000,GSSHOP네이버페이45540,https://shopping-phinf.pstatic.net/main_3567494/35674945902.20230527060916.jpg?type=f140
엘렌쥬얼리 할로우 Primo 메디앙 팔찌,375000원,엘렌쥬얼리네이버플러스멤버십375000,옥션385750,G마켓387900,롯데ON네이버페이392210,하프클럽네이버페이396520,https://shopping-phinf.pstatic.net/main_2319461/23194619152.20200618202326.jpg?type=f140
엘렌쥬얼리 할로우 커브 체인 반지 B타입,78000원,엘렌쥬얼리네이버플러스멤버십78000,하프클럽네이버페이82800,브랜디네이버플러스멤버십86000,홈앤쇼핑98190,위메프네이버페이102000,https://shopping-phinf.pstatic.net/main_3412787/34127875962.20230527055555.jpg?type=f140
엘렌쥬얼리 헥사곤 미스 링 금 실 반지,41650원,롯데ON네이버페이41650,위메프네이버페이41650,티몬네이버페이42680,엘렌쥬얼리네이버플러스멤버십44000,G마켓44210,https://shopping-phinf.pstatic.net/main_3577754/35777541266.20221111164314.jpg?type=f140
엘렌쥬얼리 심플 볼 목걸이,89900원,엘렌쥬얼리네이버플러스멤버십89900,G마켓93600,롯데ON네이버페이94640,쿠팡95000,하프클럽네이버페이95680,https://shopping-phinf.pstatic.net/main_3518560/35185603168.20221012093152.jpg?type=f140
엘렌쥬얼리 블레스 나비 금 피어싱,38220원,위메프네이버페이38220,롯데ON네이버페이38220,SSG닷컴38465,G마켓38910,엘렌쥬얼리네이버플러스멤버십39000,https://shopping-phinf.pstatic.net/main_3932208/39322080672.20230412063944.jpg?type=f140
엘렌쥬얼리 할로우 Curve 체인 팔찌,261200원,브랜디네이버플러스멤버십261200,하프클럽네이버페이261280,패션플러스네이버페이297540,옥션311220,롯데ON네이버페이321480,https://shopping-phinf.pstatic.net/main_3563531/35635310149.20221104084002.jpg?type=f140
엘렌쥬얼리 디자인 콤비 클립 금 목걸이,139040원,롯데ON네이버페이139040,위메프네이버페이139040,엘렌쥬얼리네이버플러스멤버십142000,G마켓142330,옥션143150,https://shopping-phinf.pstatic.net/main_3894307/38943072603.20230408081740.jpg?type=f140
엘렌쥬얼리 불교 절 만자 금 목걸이,130690원,옥션130690,브랜디네이버플러스멤버십130700,롯데ON네이버페이130770,하프클럽네이버페이132210,인터파크쇼핑네이버페이132480,https://shopping-phinf.pstatic.net/main_2876337/28763370473.20210910041119.jpg?type=f140
